,year,exp,imp,value,tot_production,tot_expenditure,share,cost,A,B,C
41,1995,BRA,USA,9533.771137142772,1261526.5,13546241.0,0.0007037946,0.06730763,BRA_USA,BRA_1995,USA_1995
42,1995,CAN,USA,142108.940190811,1026040.06,13546241.0,0.010490655,0.022185203,CAN_USA,CAN_1995,USA_1995
43,1995,CHN,USA,41663.89799734966,1888818.0,13546241.0,0.0030756798,0.063129686,CHN_USA,CHN_1995,USA_1995
44,1995,CZE,USA,1555.5478823994981,131930.34,13546241.0,0.00011483244,0.058101464,CZE_USA,CZE_1995,USA_1995
45,1995,DEU,USA,45138.61219093275,4289715.0,13546241.0,0.0033321872,0.032335434,DEU_USA,DEU_1995,USA_1995
46,1995,DNK,USA,3635.8746845303895,298365.9,13546241.0,0.0002684047,0.044667214,DNK_USA,DNK_1995,USA_1995
47,1995,ESP,USA,5116.926461502517,1137233.0,13546241.0,0.00037773774,0.07189675,ESP_USA,ESP_1995,USA_1995
48,1995,FIN,USA,3148.526117062077,239854.66,13546241.0,0.00023242804,0.052804366,FIN_USA,FIN_1995,USA_1995
49,1995,FRA,USA,32645.848293963612,2756128.8,13546241.0,0.0024099562,0.033252392,FRA_USA,FRA_1995,USA_1995
50,1995,GBR,USA,45395.675885608594,2101260.8,13546241.0,0.003351164,0.030292522,GBR_USA,GBR_1995,USA_1995
51,1995,GRC,USA,658.7212838580269,213345.14,13546241.0,4.8627608e-05,0.09505999,GRC_USA,GRC_1995,USA_1995
52,1995,HUN,USA,939.0715468785121,91385.586,13546241.0,6.93234e-05,0.05564276,HUN_USA,HUN_1995,USA_1995
53,1995,IDN,USA,8094.842884104852,461614.0,13546241.0,0.00059757114,0.06737861,IDN_USA,IDN_1995,USA_1995
54,1995,IND,USA,8873.305724924883,727386.7,13546241.0,0.0006550382,0.060097896,IND_USA,IND_1995,USA_1995
55,1995,IRL,USA,5119.015841794864,134723.39,13546241.0,0.000377892,0.016539076,IRL_USA,IRL_1995,USA_1995
56,1995,ITA,USA,25730.127102936473,2104988.8,13546241.0,0.0018994292,0.047759224,ITA_USA,ITA_1995,USA_1995
57,1995,JPN,USA,107290.1292460378,9871402.0,13546241.0,0.007920288,0.028889675,JPN_USA,JPN_1995,USA_1995
58,1995,KOR,USA,29748.409813715443,1108509.4,13546241.0,0.0021960638,0.028827006,KOR_USA,KOR_1995,USA_1995
59,1995,LTU,USA,53.571510786466206,13012.95,13546241.0,3.954714e-06,0.10297362,LTU_USA,LTU_1995,USA_1995
60,1995,MEX,USA,53583.65808602752,561614.75,13546241.0,0.003955611,0.017052718,MEX_USA,MEX_1995,USA_1995
61,1995,NLD,USA,17604.914190073847,786923.56,13546241.0,0.0012996162,0.060151145,NLD_USA,NLD_1995,USA_1995
62,1995,POL,USA,1213.636724117612,264793.7,13546241.0,8.959214e-05,0.06929322,POL_USA,POL_1995,USA_1995
63,1995,PRT,USA,2222.9652704855444,213812.03,13546241.0,0.000164102,0.056723192,PRT_USA,PRT_1995,USA_1995
64,1995,ROU,USA,278.3728794401468,79644.24,13546241.0,2.0549825e-05,0.079708494,ROU_USA,ROU_1995,USA_1995
65,1995,RUS,USA,3205.901382936365,611082.06,13546241.0,0.00023666355,0.05683783,RUS_USA,RUS_1995,USA_1995
66,1995,RoW,USA,173598.09268337203,6023853.0,13546241.0,0.012815222,0.04951049,RoW_USA,RoW_1995,USA_1995
67,1995,SVK,USA,195.48625430695466,45337.566,13546241.0,1.4431033e-05,0.059488483,SVK_USA,SVK_1995,USA_1995
68,1995,SVN,USA,343.41542749438895,40260.23,13546241.0,2.5351344e-05,0.04876573,SVN_USA,SVN_1995,USA_1995
69,1995,SWE,USA,9866.163018960211,461976.66,13546241.0,0.00072833215,0.034943953,SWE_USA,SWE_1995,USA_1995
70,1995,TUR,USA,2772.5559647364744,382448.22,13546241.0,0.00020467346,0.06759746,TUR_USA,TUR_1995,USA_1995
71,1995,TWN,USA,35572.76367137005,579827.1,13546241.0,0.0026260247,0.040306915,TWN_USA,TWN_1995,USA_1995
72,1996,AUT,AUS,428.48267402705454,389425.34,822486.75,0.00052095996,0.085040145,AUT_AUS,AUT_1996,AUS_1996
73,1996,BAL,AUS,3.1372087999959533,20106.098,822486.75,3.814297e-06,0.21500124,BAL_AUS,BAL_1996,AUS_1996
74,1996,BGR,AUS,20.313832216119593,30820.61,822486.75,2.4698065e-05,0.12968221,BGR_AUS,BGR_1996,AUS_1996
75,1996,BLX,AUS,1327.7577845734907,591158.06,822486.75,0.0016143211,0.05823951,BLX_AUS,BLX_1996,AUS_1996
76,1996,BRA,AUS,301.23679499291046,1366247.2,822486.75,0.00036625125,0.12283385,BRA_AUS,BRA_1996,AUS_1996
77,1996,CAN,AUS,1617.0238954732802,1080145.5,822486.75,0.0019660182,0.08243682,CAN_AUS,CAN_1996,AUS_1996
78,1996,CHN,AUS,4704.988625477063,2229366.2,822486.75,0.005720443,0.07012109,CHN_AUS,CHN_1996,AUS_1996
79,1996,CZE,AUS,84.62502154427864,145588.42,822486.75,0.00010288922,0.11439865,CZE_AUS,CZE_1996,AUS_1996
80,1996,DEU,AUS,5168.538166044823,4148351.0,822486.75,0.006284038,0.052782964,DEU_AUS,DEU_1996,AUS_1996
81,1996,DNK,AUS,470.89509786352016,300756.88,822486.75,0.00057252607,0.05529272,DNK_AUS,DNK_1996,AUS_1996
82,1996,ESP,AUS,515.905269870399,1180804.8,822486.75,0.0006272505,0.08195915,ESP_AUS,ESP_1996,AUS_1996
83,1996,FIN,AUS,523.539437567337,237907.02,822486.75,0.0006365324,0.09064255,FIN_AUS,FIN_1996,AUS_1996
84,1996,FRA,AUS,2497.405551166999,2730003.2,822486.75,0.0030364082,0.0509393,FRA_AUS,FRA_1996,AUS_1996
85,1996,GBR,AUS,6683.45734662794,2220947.2,822486.75,0.008125915,0.053469293,GBR_AUS,GBR_1996,AUS_1996
86,1996,GRC,AUS,111.20616391803503,223447.6,822486.75,0.00013520724,0.06408102,GRC_AUS,GRC_1996,AUS_1996
87,1996,HUN,AUS,60.78009531305091,94429.69,822486.75,7.3897965e-05,0.07862607,HUN_AUS,HUN_1996,AUS_1996
88,1996,IDN,AUS,2951.0078393467456,546448.7,822486.75,0.0035879093,0.07311471,IDN_AUS,IDN_1996,AUS_1996
89,1996,IND,AUS,750.7924254052411,754103.25,822486.75,0.00091283227,0.08282506,IND_AUS,IND_1996,AUS_1996
90,1996,IRL,AUS,613.9163107920597,149876.92,822486.75,0.0007464148,0.029944137,IRL_AUS,IRL_1996,AUS_1996
91,1996,ITA,AUS,2744.7008181335777,2324819.5,822486.75,0.003337076,0.07518372,ITA_AUS,ITA_1996,AUS_1996
92,1996,JPN,AUS,7920.184294088318,8653218.0,822486.75,0.009629559,0.060961675,JPN_AUS,JPN_1996,AUS_1996
93,1996,KOR,AUS,2422.3110344916686,1192915.4,822486.75,0.0029451065,0.06602041,KOR_AUS,KOR_1996,AUS_1996
94,1996,LTU,AUS,200.7008879625343,16011.725,822486.75,0.00024401717,0.16070043,LTU_AUS,LTU_1996,AUS_1996
95,1996,MEX,AUS,210.29097408868677,641444.0,822486.75,0.00025567703,0.09950375,MEX_AUS,MEX_1996,AUS_1996
96,1996,NLD,AUS,1843.454151976715,792351.94,822486.75,0.0022413176,0.06637318,NLD_AUS,NLD_1996,AUS_1996
97,1996,POL,AUS,48.032109954279804,299043.9,822486.75,5.8398644e-05,0.09738099,POL_AUS,POL_1996,AUS_1996
98,1996,PRT,AUS,177.88294754999527,222990.12,822486.75,0.00021627455,0.07259669,PRT_AUS,PRT_1996,AUS_1996
99,1996,ROU,AUS,20.23902138810263,82950.22,822486.75,2.4607109e-05,0.10221342,ROU_AUS,ROU_1996,AUS_1996
100,1996,RUS,AUS,80.41460551209366,742843.06,822486.75,9.777009e-05,0.15510432,RUS_AUS,RUS_1996,AUS_1996
101,1996,RoW,AUS,15668.36637565343,6445277.0,822486.75,0.019049993,0.06390577,RoW_AUS,RoW_1996,AUS_1996
102,1996,SVK,AUS,4.298332349252162,50111.266,822486.75,5.22602e-06,0.07429976,SVK_AUS,SVK_1996,AUS_1996
103,1996,SVN,AUS,19.409544548385316,40779.668,822486.75,2.359861e-05,0.07517774,SVN_AUS,SVN_1996,AUS_1996
104,1996,SWE,AUS,1171.219758572151,501511.4,822486.75,0.0014239984,0.04490941,SWE_AUS,SWE_1996,AUS_1996
105,1996,TUR,AUS,89.02663395017947,412167.12,822486.75,0.00010824081,0.10500148,TUR_AUS,TUR_1996,AUS_1996
106,1996,TWN,AUS,2627.9671687252135,595757.0,822486.75,0.0031951484,0.054460444,TWN_AUS,TWN_1996,AUS_1996
107,1996,USA,AUS,12147.668832037554,14272864.0,822486.75,0.0147694405,0.06779917,USA_AUS,USA_1996,AUS_1996
108,1996,AUS,USA,5964.133025205684,829399.25,14348868.0,0.00041565183,0.06861499,AUS_USA,AUS_1996,USA_1996
109,1996,AUT,USA,3413.669613149683,389425.34,14348868.0,0.00023790516,0.03706886,AUT_USA,AUT_1996,USA_1996
110,1996,BAL,USA,114.15442725191373,20106.098,14348868.0,7.95564e-06,0.07558703,BAL_USA,BAL_1996,USA_1996
111,1996,BGR,USA,181.23163861881028,30820.61,14348868.0,1.26303785e-05,0.077220045,BGR_USA,BGR_1996,USA_1996
112,1996,BLX,USA,11771.934312099114,591158.06,14348868.0,0.0008204086,0.029064942,BLX_USA,BLX_1996,USA_1996
113,1996,BRA,USA,9369.111821989314,1366247.2,14348868.0,0.0006529513,0.059438765,BRA_USA,BRA_1996,USA_1996
114,1996,CAN,USA,155510.6967985784,1080145.5,14348868.0,0.010837837,0.020859366,CAN_USA,CAN_1996,USA_1996
115,1996,CHN,USA,42494.19773361359,2229366.2,14348868.0,0.0029615017,0.05534665,CHN_USA,CHN_1996,USA_1996
116,1996,CZE,USA,1723.5964213318393,145588.42,14348868.0,0.00012012073,0.047642544,CZE_USA,CZE_1996,USA_1996
117,1996,DEU,USA,47400.33048331342,4148351.0,14348868.0,0.0033034196,0.026533635,DEU_USA,DEU_1996,USA_1996
118,1996,DNK,USA,3786.9544562042547,300756.88,14348868.0,0.00026392008,0.03979589,DNK_USA,DNK_1996,USA_1996
119,1996,ESP,USA,5800.525948011955,1180804.8,14348868.0,0.00040424973,0.064196154,ESP_USA,ESP_1996,USA_1996
120,1996,FIN,USA,3251.8194474620714,237907.02,14348868.0,0.0002266255,0.049691744,FIN_USA,FIN_1996,USA_1996
121,1996,FRA,USA,34503.29534383395,2730003.2,14348868.0,0.0024046006,0.029095177,FRA_USA,FRA_1996,USA_1996
122,1996,GBR,USA,53184.45883479303,2220947.2,14348868.0,0.0037065265,0.027573451,GBR_USA,GBR_1996,USA_1996
123,1996,GRC,USA,610.9835154258915,223447.6,14348868.0,4.2580607e-05,0.07781735,GRC_USA,GRC_1996,USA_1996
124,1996,HUN,USA,958.0875928721158,94429.69,14348868.0,6.6770954e-05,0.036704987,HUN_USA,HUN_1996,USA_1996
125,1996,IDN,USA,9144.190988270224,546448.7,14348868.0,0.0006372761,0.06250183,IDN_USA,IDN_1996,USA_1996
126,1996,IND,USA,9622.355684740787,754103.25,14348868.0,0.00067060033,0.056751266,IND_USA,IND_1996,USA_1996
127,1996,IRL,USA,6028.866424724311,149876.92,14348868.0,0.0004201632,0.014997418,IRL_USA,IRL_1996,USA_1996
128,1996,ITA,USA,28699.01086359772,2324819.5,14348868.0,0.0020000888,0.04218306,ITA_USA,ITA_1996,USA_1996
129,1996,JPN,USA,97406.25290918197,8653218.0,14348868.0,0.0067884275,0.023735024,JPN_USA,JPN_1996,USA_1996
130,1996,KOR,USA,27688.85526213969,1192915.4,14348868.0,0.0019296892,0.027531931,KOR_USA,KOR_1996,USA_1996
131,1996,LTU,USA,84.49455727963789,16011.725,14348868.0,5.888587e-06,0.08330931,LTU_USA,LTU_1996,USA_1996
132,1996,MEX,USA,66778.49603672784,641444.0,14348868.0,0.004653921,0.015720753,MEX_USA,MEX_1996,USA_1996
133,1996,NLD,USA,18565.275694383017,792351.94,14348868.0,0.0012938495,0.058582395,NLD_USA,NLD_1996,USA_1996
134,1996,POL,USA,1218.7283523676033,299043.9,14348868.0,8.4935506e-05,0.06489014,POL_USA,POL_1996,USA_1996
135,1996,PRT,USA,1909.5995967713118,222990.12,14348868.0,0.00013308364,0.04861551,PRT_USA,PRT_1996,USA_1996
136,1996,ROU,USA,302.7006003598017,82950.22,14348868.0,2.1095782e-05,0.07213011,ROU_USA,ROU_1996,USA_1996
137,1996,RUS,USA,3165.6930716862644,742843.06,14348868.0,0.00022062319,0.050578725,RUS_USA,RUS_1996,USA_1996
138,1996,RoW,USA,191704.0602527646,6445277.0,14348868.0,0.013360222,0.046698667,RoW_USA,RoW_1996,USA_1996
139,1996,SVK,USA,164.9079404073329,50111.266,14348868.0,1.1492749e-05,0.0715725,SVK_USA,SVK_1996,USA_1996
140,1996,SVN,USA,340.1988352397383,40779.668,14348868.0,2.3709106e-05,0.050195616,SVN_USA,SVN_1996,USA_1996
141,1996,SWE,USA,11059.24478150476,501511.4,14348868.0,0.00077073986,0.030296128,SWE_USA,SWE_1996,USA_1996
142,1996,TUR,USA,3253.9607449700015,412167.12,14348868.0,0.00022677473,0.058083653,TUR_USA,TUR_1996,USA_1996
143,1996,TWN,USA,35091.14452310606,595757.0,14348868.0,0.0024455688,0.036517717,TWN_USA,TWN_1996,USA_1996
144,1997,AUT,AUS,484.3215188772415,349702.38,829735.25,0.0005837061,0.08284779,AUT_AUS,AUT_1997,AUS_1997
145,1997,BAL,AUS,4.529847683221973,22377.809,829735.25,5.4593893e-06,0.17087047,BAL_AUS,BAL_1997,AUS_1997
146,1997,BGR,AUS,20.581032150019617,24225.986,829735.25,2.4804336e-05,0.12184309,BGR_AUS,BGR_1997,AUS_1997
147,1997,BLX,AUS,1349.368848590253,544784.94,829735.25,0.0016262643,0.0601405,BLX_AUS,BLX_1997,AUS_1997
148,1997,BRA,AUS,302.732085500976,1420617.9,829735.25,0.00036485383,0.11938941,BRA_AUS,BRA_1997,AUS_1997
149,1997,CAN,AUS,2104.994065758436,1130851.9,829735.25,0.0025369467,0.08916249,CAN_AUS,CAN_1997,AUS_1997
150,1997,CHN,AUS,5462.355110962387,2480755.0,829735.25,0.0065832506,0.06862653,CHN_AUS,CHN_1997,AUS_1997
151,1997,CZE,AUS,75.82089267982008,138889.03,829735.25,9.137962e-05,0.115946196,CZE_AUS,CZE_1997,AUS_1997
152,1997,DEU,AUS,5337.241834584529,3708413.5,829735.25,0.006432464,0.05680463,DEU_AUS,DEU_1997,AUS_1997
153,1997,DNK,AUS,476.13799442632353,278356.72,829735.25,0.00057384325,0.052676223,DNK_AUS,DNK_1997,AUS_1997
154,1997,ESP,AUS,534.9406132942531,1084757.0,829735.25,0.0006447124,0.08430201,ESP_AUS,ESP_1997,AUS_1997
155,1997,FIN,AUS,649.0415169178295,229104.77,829735.25,0.00078222726,0.09449082,FIN_AUS,FIN_1997,AUS_1997
156,1997,FRA,AUS,2664.9037742519095,2476918.0,829735.25,0.0032117518,0.05828583,FRA_AUS,FRA_1997,AUS_1997
157,1997,GBR,AUS,7827.485993593797,2459925.0,829735.25,0.009433716,0.054135196,GBR_AUS,GBR_1997,AUS_1997
158,1997,GRC,AUS,137.45411956478097,213900.89,829735.25,0.00016566021,0.07161483,GRC_AUS,GRC_1997,AUS_1997
159,1997,HUN,AUS,69.34889458144674,97266.83,829735.25,8.357954e-05,0.068763405,HUN_AUS,HUN_1997,AUS_1997
160,1997,IDN,AUS,3873.2930772168083,559879.9,829735.25,0.0046681073,0.076518536,IDN_AUS,IDN_1997,AUS_1997
161,1997,IND,AUS,835.1993509906946,829047.75,829735.25,0.0010065853,0.08762692,IND_AUS,IND_1997,AUS_1997
162,1997,IRL,AUS,857.9927693574023,164938.6,829735.25,0.0010340561,0.029304301,IRL_AUS,IRL_1997,AUS_1997
163,1997,ITA,AUS,2970.6494478701866,2224223.8,829735.25,0.0035802377,0.075541176,ITA_AUS,ITA_1997,AUS_1997
164,1997,JPN,AUS,9578.818213214454,7988887.5,829735.25,0.011544427,0.06301599,JPN_AUS,JPN_1997,AUS_1997
165,1997,KOR,AUS,3082.3290860120305,1131548.9,829735.25,0.0037148343,0.05550191,KOR_AUS,KOR_1997,AUS_1997
166,1997,LTU,AUS,261.47055569066964,17948.7,829735.25,0.00031512527,0.093457654,LTU_AUS,LTU_1997,AUS_1997
167,1997,MEX,AUS,241.0186643125656,763693.3,829735.25,0.0002904766,0.10659817,MEX_AUS,MEX_1997,AUS_1997
168,1997,NLD,AUS,1499.251416705878,734631.8,829735.25,0.0018069034,0.06152504,NLD_AUS,NLD_1997,AUS_1997
169,1997,POL,AUS,81.01678095380475,300257.8,829735.25,9.764172e-05,0.037693236,POL_AUS,POL_1997,AUS_1997
170,1997,PRT,AUS,192.25099948219807,213822.28,829735.25,0.00023170162,0.06881962,PRT_AUS,PRT_1997,AUS_1997
171,1997,ROU,AUS,18.819031057146276,76895.016,829735.25,2.2680766e-05,0.11493784,ROU_AUS,ROU_1997,AUS_1997
172,1997,RUS,AUS,86.62596491300155,748922.56,829735.25,0.00010440194,0.15245508,RUS_AUS,RUS_1997,AUS_1997
173,1997,RoW,AUS,13062.151872608569,6563829.5,829735.25,0.015742553,0.06395654,RoW_AUS,RoW_1997,AUS_1997
174,1997,SVK,AUS,5.357527929587274,50817.4,829735.25,6.4569126e-06,0.09583771,SVK_AUS,SVK_1997,AUS_1997
175,1997,SVN,AUS,22.60001306404134,39685.84,829735.25,2.723762e-05,0.08219471,SVN_AUS,SVN_1997,AUS_1997
176,1997,SWE,AUS,1239.8713400409742,466168.84,829735.25,0.0014942975,0.04505659,SWE_AUS,SWE_1997,AUS_1997
177,1997,TUR,AUS,154.15951838425266,444490.62,829735.25,0.00018579363,0.10541729,TUR_AUS,TUR_1997,AUS_1997
178,1997,TWN,AUS,2888.11740433657,617079.6,829735.25,0.0034807697,0.05569823,TWN_AUS,TWN_1997,AUS_1997
179,1997,USA,AUS,14262.385328895187,15168255.0,829735.25,0.01718908,0.068253204,USA_AUS,USA_1997,AUS_1997
180,1997,AUS,USA,7592.465397303271,832678.25,15235673.0,0.00049833476,0.06537234,AUS_USA,AUS_1997,USA_1997
181,1997,AUT,USA,3523.1344669083715,349702.38,15235673.0,0.00023124246,0.0365634,AUT_USA,AUT_1997,USA_1997
